State,Value,Category,Year,Dataset,State_Total,Crime_Share,Dataset_Total,Contribution_%,Prev_Value,Growth_Rate,Crime_Rank_State,State_Rank,Intensity,Log_Value,Frequency,Metric
Gujarat,20778,Obstruction on Public way,2021,IPC,296968,0.069967135,4230873,0.491104318,4944,320.2669903,3,40,Low,9.94169814,Rare,I
Haryana,973,Obstruction on Public way,2021,IPC,144925,0.006713817,4230873,0.022997618,956,1.778242678,36,687,Low,6.881411304,Rare,I
Himachal Pradesh,1686,Obstruction on Public way,2021,IPC,19452,0.086674892,4230873,0.039849932,537,213.9664804,3,488.5,Low,7.430707083,Rare,I
Jharkhand,1,Obstruction on Public way,2021,IPC,69828,1.43E-05,4230873,2.36E-05,480,-99.79166667,180,5116,Low,0.693147181,Rare,I
Karnataka,2212,Obstruction on Public way,2021,IPC,177849,0.012437517,4230873,0.052282354,14634,-84.88451551,24,398.5,Low,7.70210434,Rare,I
Kerala,2479,Obstruction on Public way,2021,IPC,174311,0.014221707,4230873,0.058593108,23668,-89.5259422,12,367.5,Low,7.816013839,Rare,I
Madhya Pradesh,254,Obstruction on Public way,2021,IPC,462368,0.000549346,4230873,0.006003489,5675,-95.52422907,67,1266,Low,5.541263545,Rare,I
Maharashtra,18740,Obstruction on Public way,2021,IPC,505541,0.037069199,4230873,0.442934591,9803,91.1659696,6,49,Low,9.838468916,Rare,I
Manipur,0,Obstruction on Public way,2021,IPC,3307,0,4230873,0,151,-100,197,7352.5,Low,0,Rare,I
Meghalaya,0,Obstruction on Public way,2021,IPC,4249,0,4230873,0,42,-100,198.5,7352.5,Low,0,Rare,I
Mizoram,0,Obstruction on Public way,2021,IPC,2823,0,4230873,0,6,-100,174,7352.5,Low,0,Rare,I
Nagaland,0,Obstruction on Public way,2021,IPC,1216,0,4230873,0,0,0,169,7352.5,Low,0,Rare,I
Odisha,1,Obstruction on Public way,2021,IPC,193012,5.18E-06,4230873,2.36E-05,1759,-99.94314952,157.5,5116,Low,0.693147181,Rare,I
Punjab,212,Obstruction on Public way,2021,IPC,62358,0.003399724,4230873,0.005010786,1022,-79.25636008,41,1355.5,Low,5.361292166,Rare,I
Rajasthan,22,Obstruction on Public way,2021,IPC,298122,7.38E-05,4230873,0.000519987,2447,-99.10093993,115.5,2794.5,Low,3.135494216,Rare,I
Sikkim,0,Obstruction on Public way,2021,IPC,960,0,4230873,0,78,-100,166,7352.5,Low,0,Rare,I
Tamil Nadu,1830,Obstruction on Public way,2021,IPC,376836,0.004856224,4230873,0.043253485,20743,-91.17774671,19,455,Low,7.512617545,Rare,I
Telangana,3,Obstruction on Public way,2021,IPC,224213,1.34E-05,4230873,7.09E-05,1369,-99.78086194,171.5,4307.5,Low,1.386294361,Rare,I
Tripura,0,Obstruction on Public way,2021,IPC,6500,0,4230873,0,283,-100,186.5,7352.5,Low,0,Rare,I
Uttar Pradesh,6,Obstruction on Public way,2021,IPC,537212,1.12E-05,4230873,0.000141815,10616,-99.94348154,177,3814.5,Low,1.945910149,Rare,I
Uttarakhand,0,Obstruction on Public way,2021,IPC,23817,0,4230873,0,199,-100,204,7352.5,Low,0,Rare,I
West Bengal,274,Obstruction on Public way,2021,IPC,234967,0.001166121,4230873,0.006476205,4423,-93.80510965,63,1239.5,Low,5.616771098,Rare,I
A&N Islands,0,Obstruction on Public way,2021,IPC,794,0,4230873,0,29,-100,174,7352.5,Low,0,Rare,I
Chandigarh,33,Obstruction on Public way,2021,IPC,3338,0.009886159,4230873,0.000779981,8,312.5,22,2477.5,Low,3.526360525,Rare,I
D&N Haveli and Daman & Diu,0,Obstruction on Public way,2021,IPC,841,0,4230873,0,59,-100,164.5,7352.5,Low,0,Rare,I
Delhi,8914,Obstruction on Public way,2021,IPC,328033,0.027174095,4230873,0.210689378,212,4104.716981,4,110,Low,9.09549053,Rare,I
Jammu & Kashmir,0,Obstruction on Public way,2021,IPC,36940,0,4230873,0,165,-100,204,7352.5,Low,0,Rare,I
Ladakh,0,Obstruction on Public way,2021,IPC,613,0,4230873,0,14,-100,151.5,7352.5,Low,0,Rare,I
Lakshadweep,2,Obstruction on Public way,2021,IPC,171,0.011695906,4230873,4.73E-05,0,inf,15.5,4595.5,Low,1.098612289,Rare,I
Puducherry,22,Obstruction on Public way,2021,IPC,4889,0.004499898,4230873,0.000519987,440,-95,25,2794.5,Low,3.135494216,Rare,I
Andhra Pradesh,1,Sale of obscene Books/Objects,2021,IPC,224927,4.45E-06,4230873,2.36E-05,15,-93.33333333,201.5,5116,Low,0.693147181,Rare,I
Arunachal Pradesh,0,Sale of obscene Books/Objects,2021,IPC,3603,0,4230873,0,0,0,186,7352.5,Low,0,Rare,I
Assam,0,Sale of obscene Books/Objects,2021,IPC,188338,0,4230873,0,3,-100,226.5,7352.5,Low,0,Rare,I
Bihar,0,Sale of obscene Books/Objects,2021,IPC,305961,0,4230873,0,0,0,217.5,7352.5,Low,0,Rare,I
Chhattisgarh,1,Sale of obscene Books/Objects,2021,IPC,113598,8.80E-06,4230873,2.36E-05,102,-99.01960784,172.5,5116,Low,0.693147181,Rare,I
Goa,0,Sale of obscene Books/Objects,2021,IPC,2936,0,4230873,0,0,0,185,7352.5,Low,0,Rare,I
Gujarat,9,Sale of obscene Books/Objects,2021,IPC,296968,3.03E-05,4230873,0.000212722,20778,-99.95668496,143,3494,Low,2.302585093,Rare,I
Haryana,1,Sale of obscene Books/Objects,2021,IPC,144925,6.90E-06,4230873,2.36E-05,973,-99.89722508,195.5,5116,Low,0.693147181,Rare,I
Himachal Pradesh,0,Sale of obscene Books/Objects,2021,IPC,19452,0,4230873,0,1686,-100,204.5,7352.5,Low,0,Rare,I
Jharkhand,0,Sale of obscene Books/Objects,2021,IPC,69828,0,4230873,0,1,-100,220.5,7352.5,Low,0,Rare,I
Karnataka,2,Sale of obscene Books/Objects,2021,IPC,177849,1.12E-05,4230873,4.73E-05,2212,-99.90958409,178,4595.5,Low,1.098612289,Rare,I
Kerala,1,Sale of obscene Books/Objects,2021,IPC,174311,5.74E-06,4230873,2.36E-05,2479,-99.95966115,197,5116,Low,0.693147181,Rare,I
Madhya Pradesh,12,Sale of obscene Books/Objects,2021,IPC,462368,2.60E-05,4230873,0.000283629,254,-95.27559055,155,3281.5,Low,2.564949357,Rare,I
Maharashtra,15,Sale of obscene Books/Objects,2021,IPC,505541,2.97E-05,4230873,0.000354537,18740,-99.91995731,162.5,3106.5,Low,2.772588722,Rare,I
Manipur,2,Sale of obscene Books/Objects,2021,IPC,3307,0.000604778,4230873,4.73E-05,0,inf,88.5,4595.5,Low,1.098612289,Rare,I
Meghalaya,2,Sale of obscene Books/Objects,2021,IPC,4249,0.000470699,4230873,4.73E-05,0,inf,107,4595.5,Low,1.098612289,Rare,I
Mizoram,0,Sale of obscene Books/Objects,2021,IPC,2823,0,4230873,0,0,0,174,7352.5,Low,0,Rare,I
Nagaland,0,Sale of obscene Books/Objects,2021,IPC,1216,0,4230873,0,0,0,169,7352.5,Low,0,Rare,I
Odisha,2,Sale of obscene Books/Objects,2021,IPC,193012,1.04E-05,4230873,4.73E-05,1,100,148.5,4595.5,Low,1.098612289,Rare,I
Punjab,0,Sale of obscene Books/Objects,2021,IPC,62358,0,4230873,0,212,-100,218.5,7352.5,Low,0,Rare,I
Rajasthan,0,Sale of obscene Books/Objects,2021,IPC,298122,0,4230873,0,22,-100,226.5,7352.5,Low,0,Rare,I
Sikkim,0,Sale of obscene Books/Objects,2021,IPC,960,0,4230873,0,0,0,166,7352.5,Low,0,Rare,I
Tamil Nadu,0,Sale of obscene Books/Objects,2021,IPC,376836,0,4230873,0,1830,-100,228,7352.5,Low,0,Rare,I
Telangana,6,Sale of obscene Books/Objects,2021,IPC,224213,2.68E-05,4230873,0.000141815,3,100,158,3814.5,Low,1.945910149,Rare,I
Tripura,0,Sale of obscene Books/Objects,2021,IPC,6500,0,4230873,0,0,0,186.5,7352.5,Low,0,Rare,I
Uttar Pradesh,0,Sale of obscene Books/Objects,2021,IPC,537212,0,4230873,0,6,-100,236,7352.5,Low,0,Rare,I
Uttarakhand,2,Sale of obscene Books/Objects,2021,IPC,23817,8.40E-05,4230873,4.73E-05,0,inf,129.5,4595.5,Low,1.098612289,Rare,I
West Bengal,3,Sale of obscene Books/Objects,2021,IPC,234967,1.28E-05,4230873,7.09E-05,274,-98.90510949,153.5,4307.5,Low,1.386294361,Rare,I
A&N Islands,0,Sale of obscene Books/Objects,2021,IPC,794,0,4230873,0,0,0,174,7352.5,Low,0,Rare,I
Chandigarh,0,Sale of obscene Books/Objects,2021,IPC,3338,0,4230873,0,33,-100,185.5,7352.5,Low,0,Rare,I
D&N Haveli and Daman & Diu,0,Sale of obscene Books/Objects,2021,IPC,841,0,4230873,0,0,0,164.5,7352.5,Low,0,Rare,I
Delhi,2,Sale of obscene Books/Objects,2021,IPC,328033,6.10E-06,4230873,4.73E-05,8914,-99.97756338,148,4595.5,Low,1.098612289,Rare,I
Jammu & Kashmir,0,Sale of obscene Books/Objects,2021,IPC,36940,0,4230873,0,0,0,204,7352.5,Low,0,Rare,I
Ladakh,0,Sale of obscene Books/Objects,2021,IPC,613,0,4230873,0,0,0,151.5,7352.5,Low,0,Rare,I
Lakshadweep,0,Sale of obscene Books/Objects,2021,IPC,171,0,4230873,0,2,-100,150,7352.5,Low,0,Rare,I
Puducherry,0,Sale of obscene Books/Objects,2021,IPC,4889,0,4230873,0,22,-100,163.5,7352.5,Low,0,Rare,I
Andhra Pradesh,580,Obscenity in Public Places,2021,IPC,224927,0.002578614,4230873,0.013708755,1,57900,41,896,Low,6.364750757,Rare,I
Arunachal Pradesh,0,Obscenity in Public Places,2021,IPC,3603,0,4230873,0,0,0,186,7352.5,Low,0,Rare,I
Assam,1185,Obscenity in Public Places,2021,IPC,188338,0.006291879,4230873,0.028008404,0,inf,37,604.5,Low,7.07834158,Rare,I
Bihar,0,Obscenity in Public Places,2021,IPC,305961,0,4230873,0,0,0,217.5,7352.5,Low,0,Rare,I
Chhattisgarh,86,Obscenity in Public Places,2021,IPC,113598,0.000757056,4230873,0.002032677,1,8500,60.5,1807,Low,4.465908119,Rare,I
Goa,0,Obscenity in Public Places,2021,IPC,2936,0,4230873,0,0,0,185,7352.5,Low,0,Rare,I
Gujarat,48,Obscenity in Public Places,2021,IPC,296968,0.000161634,4230873,0.001134518,9,433.3333333,83.5,2184.5,Low,3.891820298,Rare,I
Haryana,206,Obscenity in Public Places,2021,IPC,144925,0.001421425,4230873,0.004868971,1,20500,76,1375.5,Low,5.332718793,Rare,I
Himachal Pradesh,1,Obscenity in Public Places,2021,IPC,19452,5.14E-05,4230873,2.36E-05,0,inf,140.5,5116,Low,0.693147181,Rare,I
Jharkhand,0,Obscenity in Public Places,2021,IPC,69828,0,4230873,0,0,0,220.5,7352.5,Low,0,Rare,I
Karnataka,4,Obscenity in Public Places,2021,IPC,177849,2.25E-05,4230873,9.45E-05,2,100,167,4125.5,Low,1.609437912,Rare,I
Kerala,782,Obscenity in Public Places,2021,IPC,174311,0.004486234,4230873,0.018483183,1,78100,25,765.5,Low,6.663132696,Rare,I
Madhya Pradesh,7420,Obscenity in Public Places,2021,IPC,462368,0.016047823,4230873,0.175377517,12,61733.33333,16,134,Low,8.912069098,Rare,I
Maharashtra,3790,Obscenity in Public Places,2021,IPC,505541,0.007496919,4230873,0.089579621,15,25166.66667,29,272,Low,8.240385116,Rare,I
Manipur,4,Obscenity in Public Places,2021,IPC,3307,0.001209555,4230873,9.45E-05,2,100,68,4125.5,Low,1.609437912,Rare,I
Meghalaya,0,Obscenity in Public Places,2021,IPC,4249,0,4230873,0,2,-100,198.5,7352.5,Low,0,Rare,I
Mizoram,0,Obscenity in Public Places,2021,IPC,2823,0,4230873,0,0,0,174,7352.5,Low,0,Rare,I
Nagaland,0,Obscenity in Public Places,2021,IPC,1216,0,4230873,0,0,0,169,7352.5,Low,0,Rare,I
Odisha,337,Obscenity in Public Places,2021,IPC,193012,0.001746005,4230873,0.007965259,2,16750,50,1134,Low,5.823045895,Rare,I
Punjab,10,Obscenity in Public Places,2021,IPC,62358,0.000160364,4230873,0.000236358,0,inf,115,3417,Low,2.397895273,Rare,I
Rajasthan,0,Obscenity in Public Places,2021,IPC,298122,0,4230873,0,0,0,226.5,7352.5,Low,0,Rare,I
Sikkim,0,Obscenity in Public Places,2021,IPC,960,0,4230873,0,0,0,166,7352.5,Low,0,Rare,I
Tamil Nadu,5169,Obscenity in Public Places,2021,IPC,376836,0.013716842,4230873,0.122173367,0,inf,12,189,Low,8.550627968,Rare,I
Telangana,143,Obscenity in Public Places,2021,IPC,224213,0.000637786,4230873,0.003379917,6,2283.333333,82,1560.5,Low,4.9698133,Rare,I
Tripura,0,Obscenity in Public Places,2021,IPC,6500,0,4230873,0,0,0,186.5,7352.5,Low,0,Rare,I
Uttar Pradesh,1991,Obscenity in Public Places,2021,IPC,537212,0.003706172,4230873,0.047058846,0,inf,52,433,Low,7.596894438,Rare,I
Uttarakhand,7,Obscenity in Public Places,2021,IPC,23817,0.000293908,4230873,0.00016545,2,250,100,3703,Low,2.079441542,Rare,I
West Bengal,0,Obscenity in Public Places,2021,IPC,234967,0,4230873,0,3,-100,219,7352.5,Low,0,Rare,I
A&N Islands,0,Obscenity in Public Places,2021,IPC,794,0,4230873,0,0,0,174,7352.5,Low,0,Rare,I
Chandigarh,1,Obscenity in Public Places,2021,IPC,3338,0.000299581,4230873,2.36E-05,0,inf,99,5116,Low,0.693147181,Rare,I
D&N Haveli and Daman & Diu,1,Obscenity in Public Places,2021,IPC,841,0.001189061,4230873,2.36E-05,0,inf,63.5,5116,Low,0.693147181,Rare,I
Delhi,7,Obscenity in Public Places,2021,IPC,328033,2.13E-05,4230873,0.00016545,2,250,118,3703,Low,2.079441542,Rare,I
Jammu & Kashmir,33,Obscenity in Public Places,2021,IPC,36940,0.000893341,4230873,0.000779981,0,inf,60.5,2477.5,Low,3.526360525,Rare,I
Ladakh,5,Obscenity in Public Places,2021,IPC,613,0.008156607,4230873,0.000118179,0,inf,20,3959.5,Low,1.791759469,Rare,I
Lakshadweep,0,Obscenity in Public Places,2021,IPC,171,0,4230873,0,0,0,150,7352.5,Low,0,Rare,I
Puducherry,0,Obscenity in Public Places,2021,IPC,4889,0,4230873,0,0,0,163.5,7352.5,Low,0,Rare,I
Andhra Pradesh,23,Offences relating to Religion,2021,IPC,224927,0.000102255,4230873,0.000543623,580,-96.03448276,132.5,2766,Low,3.17805383,Rare,I
Arunachal Pradesh,0,Offences relating to Religion,2021,IPC,3603,0,4230873,0,0,0,186,7352.5,Low,0,Rare,I
Assam,31,Offences relating to Religion,2021,IPC,188338,0.000164598,4230873,0.000732709,1185,-97.38396624,123,2530.5,Low,3.465735903,Rare,I
Bihar,2,Offences relating to Religion,2021,IPC,305961,6.54E-06,4230873,4.73E-05,0,inf,149,4595.5,Low,1.098612289,Rare,I
Chhattisgarh,49,Offences relating to Religion,2021,IPC,113598,0.000431346,4230873,0.001158153,86,-43.02325581,76,2168,Low,3.912023005,Rare,I
Goa,8,Offences relating to Religion,2021,IPC,2936,0.002724796,4230873,0.000189086,0,inf,58.5,3591,Low,2.197224577,Rare,I
Gujarat,23,Offences relating to Religion,2021,IPC,296968,7.74E-05,4230873,0.000543623,48,-52.08333333,111.5,2766,Low,3.17805383,Rare,I
Haryana,94,Offences relating to Religion,2021,IPC,144925,0.000648611,4230873,0.002221764,206,-54.36893204,88,1759,Low,4.553876892,Rare,I
Himachal Pradesh,14,Offences relating to Religion,2021,IPC,19452,0.00071972,4230873,0.000330901,1,1300,72,3165.5,Low,2.708050201,Rare,I
Jharkhand,19,Offences relating to Religion,2021,IPC,69828,0.000272097,4230873,0.00044908,0,inf,113,2907,Low,2.995732274,Rare,I
Karnataka,210,Offences relating to Religion,2021,IPC,177849,0.001180777,4230873,0.004963515,4,5150,65,1362,Low,5.351858133,Rare,I
Kerala,4,Offences relating to Religion,2021,IPC,174311,2.29E-05,4230873,9.45E-05,782,-99.48849105,170.5,4125.5,Low,1.609437912,Rare,I
Madhya Pradesh,229,Offences relating to Religion,2021,IPC,462368,0.000495276,4230873,0.005412595,7420,-96.91374663,70,1310,Low,5.438079309,Rare,I
Maharashtra,284,Offences relating to Religion,2021,IPC,505541,0.000561774,4230873,0.006712563,3790,-92.50659631,81,1217.5,Low,5.65248918,Rare,I
Manipur,0,Offences relating to Religion,2021,IPC,3307,0,4230873,0,4,-100,197,7352.5,Low,0,Rare,I
Meghalaya,0,Offences relating to Religion,2021,IPC,4249,0,4230873,0,0,0,198.5,7352.5,Low,0,Rare,I
Mizoram,0,Offences relating to Religion,2021,IPC,2823,0,4230873,0,0,0,174,7352.5,Low,0,Rare,I
Nagaland,0,Offences relating to Religion,2021,IPC,1216,0,4230873,0,0,0,169,7352.5,Low,0,Rare,I
Odisha,2,Offences relating to Religion,2021,IPC,193012,1.04E-05,4230873,4.73E-05,337,-99.40652819,148.5,4595.5,Low,1.098612289,Rare,I
Punjab,189,Offences relating to Religion,2021,IPC,62358,0.003030886,4230873,0.004467163,10,1790,44,1417,Low,5.247024072,Rare,I
Rajasthan,31,Offences relating to Religion,2021,IPC,298122,0.000103984,4230873,0.000732709,0,inf,109,2530.5,Low,3.465735903,Rare,I
Sikkim,1,Offences relating to Religion,2021,IPC,960,0.001041667,4230873,2.36E-05,0,inf,66,5116,Low,0.693147181,Rare,I
Tamil Nadu,35,Offences relating to Religion,2021,IPC,376836,9.29E-05,4230873,0.000827252,5169,-99.32288644,113,2415.5,Low,3.583518938,Rare,I
Telangana,38,Offences relating to Religion,2021,IPC,224213,0.000169482,4230873,0.00089816,143,-73.42657343,114,2359.5,Low,3.663561646,Rare,I
Tripura,3,Offences relating to Religion,2021,IPC,6500,0.000461538,4230873,7.09E-05,0,inf,84,4307.5,Low,1.386294361,Rare,I
Uttar Pradesh,137,Offences relating to Religion,2021,IPC,537212,0.00025502,4230873,0.003238102,1991,-93.11903566,104,1576,Low,4.927253685,Rare,I
Uttarakhand,14,Offences relating to Religion,2021,IPC,23817,0.000587815,4230873,0.000330901,7,100,85.5,3165.5,Low,2.708050201,Rare,I
West Bengal,8,Offences relating to Religion,2021,IPC,234967,3.40E-05,4230873,0.000189086,0,inf,129.5,3591,Low,2.197224577,Rare,I
A&N Islands,0,Offences relating to Religion,2021,IPC,794,0,4230873,0,0,0,174,7352.5,Low,0,Rare,I
Chandigarh,1,Offences relating to Religion,2021,IPC,3338,0.000299581,4230873,2.36E-05,1,0,99,5116,Low,0.693147181,Rare,I
D&N Haveli and Daman & Diu,0,Offences relating to Religion,2021,IPC,841,0,4230873,0,1,-100,164.5,7352.5,Low,0,Rare,I
Delhi,2,Offences relating to Religion,2021,IPC,328033,6.10E-06,4230873,4.73E-05,7,-71.42857143,148,4595.5,Low,1.098612289,Rare,I
Jammu & Kashmir,24,Offences relating to Religion,2021,IPC,36940,0.000649702,4230873,0.000567259,33,-27.27272727,68,2736,Low,3.218875825,Rare,I
Ladakh,0,Offences relating to Religion,2021,IPC,613,0,4230873,0,5,-100,151.5,7352.5,Low,0,Rare,I
Lakshadweep,0,Offences relating to Religion,2021,IPC,171,0,4230873,0,0,0,150,7352.5,Low,0,Rare,I
Puducherry,0,Offences relating to Religion,2021,IPC,4889,0,4230873,0,0,0,163.5,7352.5,Low,0,Rare,I
Andhra Pradesh,19,Cheating by Impersonation,2021,IPC,224927,8.45E-05,4230873,0.00044908,23,-17.39130435,137.5,2907,Low,2.995732274,Rare,I
Arunachal Pradesh,4,Cheating by Impersonation,2021,IPC,3603,0.001110186,4230873,9.45E-05,0,inf,61,4125.5,Low,1.609437912,Rare,I
Assam,17,Cheating by Impersonation,2021,IPC,188338,9.03E-05,4230873,0.000401808,31,-45.16129032,135.5,2999.5,Low,2.890371758,Rare,I
Bihar,5,Cheating by Impersonation,2021,IPC,305961,1.63E-05,4230873,0.000118179,2,150,133.5,3959.5,Low,1.791759469,Rare,I
Chhattisgarh,2,Cheating by Impersonation,2021,IPC,113598,1.76E-05,4230873,4.73E-05,49,-95.91836735,156,4595.5,Low,1.098612289,Rare,I
Goa,3,Cheating by Impersonation,2021,IPC,2936,0.001021798,4230873,7.09E-05,8,-62.5,76,4307.5,Low,1.386294361,Rare,I
Gujarat,63,Cheating by Impersonation,2021,IPC,296968,0.000212144,4230873,0.001489054,23,173.9130435,80,2011.5,Low,4.158883083,Rare,I
Haryana,2,Cheating by Impersonation,2021,IPC,144925,1.38E-05,4230873,4.73E-05,94,-97.87234043,185.5,4595.5,Low,1.098612289,Rare,I
Himachal Pradesh,0,Cheating by Impersonation,2021,IPC,19452,0,4230873,0,14,-100,204.5,7352.5,Low,0,Rare,I
Jharkhand,0,Cheating by Impersonation,2021,IPC,69828,0,4230873,0,19,-100,220.5,7352.5,Low,0,Rare,I
Karnataka,4,Cheating by Impersonation,2021,IPC,177849,2.25E-05,4230873,9.45E-05,210,-98.0952381,167,4125.5,Low,1.609437912,Rare,I
Kerala,12,Cheating by Impersonation,2021,IPC,174311,6.88E-05,4230873,0.000283629,4,200,139.5,3281.5,Low,2.564949357,Rare,I
Madhya Pradesh,23,Cheating by Impersonation,2021,IPC,462368,4.97E-05,4230873,0.000543623,229,-89.95633188,131.5,2766,Low,3.17805383,Rare,I
Maharashtra,63,Cheating by Impersonation,2021,IPC,505541,0.000124619,4230873,0.001489054,284,-77.81690141,119.5,2011.5,Low,4.158883083,Rare,I
Manipur,2,Cheating by Impersonation,2021,IPC,3307,0.000604778,4230873,4.73E-05,0,inf,88.5,4595.5,Low,1.098612289,Rare,I
Meghalaya,10,Cheating by Impersonation,2021,IPC,4249,0.002353495,4230873,0.000236358,0,inf,67.5,3417,Low,2.397895273,Rare,I
Mizoram,5,Cheating by Impersonation,2021,IPC,2823,0.001771165,4230873,0.000118179,0,inf,49,3959.5,Low,1.791759469,Rare,I
Nagaland,1,Cheating by Impersonation,2021,IPC,1216,0.000822368,4230873,2.36E-05,0,inf,69,5116,Low,0.693147181,Rare,I
Odisha,1,Cheating by Impersonation,2021,IPC,193012,5.18E-06,4230873,2.36E-05,2,-50,157.5,5116,Low,0.693147181,Rare,I
Punjab,0,Cheating by Impersonation,2021,IPC,62358,0,4230873,0,189,-100,218.5,7352.5,Low,0,Rare,I
Rajasthan,0,Cheating by Impersonation,2021,IPC,298122,0,4230873,0,31,-100,226.5,7352.5,Low,0,Rare,I
Sikkim,0,Cheating by Impersonation,2021,IPC,960,0,4230873,0,1,-100,166,7352.5,Low,0,Rare,I
Tamil Nadu,30,Cheating by Impersonation,2021,IPC,376836,7.96E-05,4230873,0.000709074,35,-14.28571429,120,2556.5,Low,3.433987204,Rare,I
Telangana,13,Cheating by Impersonation,2021,IPC,224213,5.80E-05,4230873,0.000307265,38,-65.78947368,141,3225.5,Low,2.63905733,Rare,I
Tripura,0,Cheating by Impersonation,2021,IPC,6500,0,4230873,0,3,-100,186.5,7352.5,Low,0,Rare,I
Uttar Pradesh,165,Cheating by Impersonation,2021,IPC,537212,0.000307141,4230873,0.003899904,137,20.4379562,102,1482,Low,5.111987788,Rare,I
Uttarakhand,1,Cheating by Impersonation,2021,IPC,23817,4.20E-05,4230873,2.36E-05,14,-92.85714286,144,5116,Low,0.693147181,Rare,I
West Bengal,19,Cheating by Impersonation,2021,IPC,234967,8.09E-05,4230873,0.00044908,8,137.5,114.5,2907,Low,2.995732274,Rare,I
A&N Islands,0,Cheating by Impersonation,2021,IPC,794,0,4230873,0,0,0,174,7352.5,Low,0,Rare,I
Chandigarh,0,Cheating by Impersonation,2021,IPC,3338,0,4230873,0,1,-100,185.5,7352.5,Low,0,Rare,I
D&N Haveli and Daman & Diu,0,Cheating by Impersonation,2021,IPC,841,0,4230873,0,0,0,164.5,7352.5,Low,0,Rare,I
Delhi,4,Cheating by Impersonation,2021,IPC,328033,1.22E-05,4230873,9.45E-05,2,100,128,4125.5,Low,1.609437912,Rare,I
Jammu & Kashmir,0,Cheating by Impersonation,2021,IPC,36940,0,4230873,0,24,-100,204,7352.5,Low,0,Rare,I
Ladakh,0,Cheating by Impersonation,2021,IPC,613,0,4230873,0,0,0,151.5,7352.5,Low,0,Rare,I
Lakshadweep,0,Cheating by Impersonation,2021,IPC,171,0,4230873,0,0,0,150,7352.5,Low,0,Rare,I
Puducherry,3,Cheating by Impersonation,2021,IPC,4889,0.000613622,4230873,7.09E-05,0,inf,53.5,4307.5,Low,1.386294361,Rare,I
Andhra Pradesh,155,Offences related to Mischief,2021,IPC,224927,0.000689112,4230873,0.003663547,19,715.7894737,77,1519.5,Low,5.049856007,Rare,I
Arunachal Pradesh,2,Offences related to Mischief,2021,IPC,3603,0.000555093,4230873,4.73E-05,4,-50,77.5,4595.5,Low,1.098612289,Rare,I
Assam,50,Offences related to Mischief,2021,IPC,188338,0.00026548,4230873,0.001181789,17,194.1176471,116,2150.5,Low,3.931825633,Rare,I
Bihar,4,Offences related to Mischief,2021,IPC,305961,1.31E-05,4230873,9.45E-05,5,-20,137,4125.5,Low,1.609437912,Rare,I
Chhattisgarh,11,Offences related to Mischief,2021,IPC,113598,9.68E-05,4230873,0.000259994,2,450,115.5,3346,Low,2.48490665,Rare,I
Goa,13,Offences related to Mischief,2021,IPC,2936,0.004427793,4230873,0.000307265,3,333.3333333,49.5,3225.5,Low,2.63905733,Rare,I
Gujarat,807,Offences related to Mischief,2021,IPC,296968,0.002717465,4230873,0.019074078,63,1180.952381,26,748,Low,6.694562059,Rare,I
Haryana,105,Offences related to Mischief,2021,IPC,144925,0.000724513,4230873,0.002481757,2,5150,86,1706,Low,4.663439094,Rare,I
Himachal Pradesh,29,Offences related to Mischief,2021,IPC,19452,0.001490849,4230873,0.000685438,0,inf,60,2584,Low,3.401197382,Rare,I
Jharkhand,0,Offences related to Mischief,2021,IPC,69828,0,4230873,0,0,0,220.5,7352.5,Low,0,Rare,I
Karnataka,326,Offences related to Mischief,2021,IPC,177849,0.001833016,4230873,0.007705266,4,8050,57,1145,Low,5.789960171,Rare,I
Kerala,68,Offences related to Mischief,2021,IPC,174311,0.000390107,4230873,0.001607233,12,466.6666667,81,1951.5,Low,4.234106505,Rare,I
Madhya Pradesh,505,Offences related to Mischief,2021,IPC,462368,0.001092204,4230873,0.011936071,23,2095.652174,61,968.5,Low,6.226536669,Rare,I
Maharashtra,608,Offences related to Mischief,2021,IPC,505541,0.001202672,4230873,0.014370557,63,865.0793651,65.5,871,Low,6.411818268,Rare,I
Manipur,7,Offences related to Mischief,2021,IPC,3307,0.002116722,4230873,0.00016545,2,250,60,3703,Low,2.079441542,Rare,I
Meghalaya,20,Offences related to Mischief,2021,IPC,4249,0.00470699,4230873,0.000472716,10,100,47,2866.5,Low,3.044522438,Rare,I
Mizoram,39,Offences related to Mischief,2021,IPC,2823,0.01381509,4230873,0.000921796,5,680,12.5,2343.5,Low,3.688879454,Rare,I
Nagaland,3,Offences related to Mischief,2021,IPC,1216,0.002467105,4230873,7.09E-05,1,200,44,4307.5,Low,1.386294361,Rare,I
Odisha,11,Offences related to Mischief,2021,IPC,193012,5.70E-05,4230873,0.000259994,1,1000,116,3346,Low,2.48490665,Rare,I
Punjab,9,Offences related to Mischief,2021,IPC,62358,0.000144328,4230873,0.000212722,0,inf,120,3494,Low,2.302585093,Rare,I
Rajasthan,38,Offences related to Mischief,2021,IPC,298122,0.000127465,4230873,0.00089816,0,inf,107,2359.5,Low,3.663561646,Rare,I
Sikkim,1,Offences related to Mischief,2021,IPC,960,0.001041667,4230873,2.36E-05,0,inf,66,5116,Low,0.693147181,Rare,I
Tamil Nadu,336,Offences related to Mischief,2021,IPC,376836,0.000891635,4230873,0.007941623,30,1020,49,1137,Low,5.82008293,Rare,I
